nohup: ignoring input
--------------------------------------------------
正在加载模型 medium.en (TEDLIUM 全量推理模式)...
模型加载完成。
--------------------------------------------------
正在加载参考文本: /opt/Audio_Datasets/TEDLIUM_WAV/text.txt
已加载 2582 条参考文本。
开始遍历音频文件: /opt/Audio_Datasets/TEDLIUM_WAV
File: 001148.wav | WER: 0.1765 | Dist: 3 | RefWords: 17
File: 001174.wav | WER: 0.1250 | Dist: 2 | RefWords: 16
File: 001142.wav | WER: 0.0000 | Dist: 0 | RefWords: 11
File: 001195.wav | WER: 0.0000 | Dist: 0 | RefWords: 27
File: 001102.wav | WER: 0.0000 | Dist: 0 | RefWords: 13
File: 001154.wav | WER: 0.1818 | Dist: 6 | RefWords: 33
File: 001109.wav | WER: 0.0000 | Dist: 0 | RefWords: 4
File: 001117.wav | WER: 0.0000 | Dist: 0 | RefWords: 18
File: 001113.wav | WER: 0.0000 | Dist: 0 | RefWords: 13
File: 001190.wav | WER: 0.0000 | Dist: 0 | RefWords: 36
File: 001147.wav | WER: 0.1379 | Dist: 4 | RefWords: 29
File: 001123.wav | WER: 0.0000 | Dist: 0 | RefWords: 9
File: 001173.wav | WER: 0.1333 | Dist: 2 | RefWords: 15
File: 000841.wav | WER: 0.5000 | Dist: 1 | RefWords: 2
File: 000803.wav | WER: 0.0000 | Dist: 0 | RefWords: 3
File: 000877.wav | WER: 0.0625 | Dist: 1 | RefWords: 16
File: 000855.wav | WER: 0.0000 | Dist: 0 | RefWords: 1
File: 000878.wav | WER: 0.1500 | Dist: 3 | RefWords: 20
File: 000848.wav | WER: 0.1786 | Dist: 5 | RefWords: 28
File: 000805.wav | WER: 0.1429 | Dist: 3 | RefWords: 21
File: 000850.wav | WER: 0.0870 | Dist: 2 | RefWords: 23
File: 000845.wav | WER: 0.0000 | Dist: 0 | RefWords: 18
File: 000837.wav | WER: 0.1020 | Dist: 5 | RefWords: 49
File: 000861.wav | WER: 0.0714 | Dist: 2 | RefWords: 28
File: 000899.wav | WER: 0.0000 | Dist: 0 | RefWords: 3
File: 000860.wav | WER: 0.0000 | Dist: 0 | RefWords: 7
File: 000819.wav | WER: 0.0000 | Dist: 0 | RefWords: 3
File: 000895.wav | WER: 0.1818 | Dist: 6 | RefWords: 33
File: 000833.wav | WER: 0.0385 | Dist: 1 | RefWords: 26
File: 000856.wav | WER: 0.1562 | Dist: 5 | RefWords: 32
File: 000893.wav | WER: 0.0000 | Dist: 0 | RefWords: 13
File: 000802.wav | WER: 0.0000 | Dist: 0 | RefWords: 17
File: 000865.wav | WER: 0.0000 | Dist: 0 | RefWords: 20
File: 000870.wav | WER: 0.1562 | Dist: 5 | RefWords: 32
File: 000808.wav | WER: 0.0000 | Dist: 0 | RefWords: 7
File: 000897.wav | WER: 0.2857 | Dist: 4 | RefWords: 14
File: 000847.wav | WER: 0.0667 | Dist: 1 | RefWords: 15
File: 000887.wav | WER: 0.0000 | Dist: 0 | RefWords: 17
File: 000857.wav | WER: 0.0000 | Dist: 0 | RefWords: 24
File: 000831.wav | WER: 0.3000 | Dist: 3 | RefWords: 10
File: 000807.wav | WER: 0.0000 | Dist: 0 | RefWords: 5
File: 000881.wav | WER: 0.0000 | Dist: 0 | RefWords: 2
File: 000839.wav | WER: 0.1000 | Dist: 2 | RefWords: 20
File: 000822.wav | WER: 0.0000 | Dist: 0 | RefWords: 12
File: 000828.wav | WER: 0.2857 | Dist: 4 | RefWords: 14
File: 000858.wav | WER: 0.1250 | Dist: 2 | RefWords: 16
File: 000889.wav | WER: 0.0000 | Dist: 0 | RefWords: 25
File: 000872.wav | WER: 0.0870 | Dist: 2 | RefWords: 23
File: 000867.wav | WER: 0.1000 | Dist: 2 | RefWords: 20
File: 000883.wav | WER: 0.0000 | Dist: 0 | RefWords: 10
File: 000826.wav | WER: 0.0000 | Dist: 0 | RefWords: 5
File: 000804.wav | WER: 0.0000 | Dist: 0 | RefWords: 7
File: 000851.wav | WER: 0.0769 | Dist: 2 | RefWords: 26
File: 000885.wav | WER: 0.1250 | Dist: 2 | RefWords: 16
File: 000823.wav | WER: 0.0000 | Dist: 0 | RefWords: 8
File: 000812.wav | WER: 0.0000 | Dist: 0 | RefWords: 20
File: 000830.wav | WER: 0.0323 | Dist: 1 | RefWords: 31
File: 000840.wav | WER: 0.0500 | Dist: 1 | RefWords: 20
File: 000896.wav | WER: 0.3158 | Dist: 6 | RefWords: 19
File: 000866.wav | WER: 0.5000 | Dist: 1 | RefWords: 2
File: 000832.wav | WER: 0.0175 | Dist: 1 | RefWords: 57
File: 000891.wav | WER: 0.2174 | Dist: 5 | RefWords: 23
File: 000882.wav | WER: 0.0000 | Dist: 0 | RefWords: 8
File: 000859.wav | WER: 0.0690 | Dist: 2 | RefWords: 29
File: 000873.wav | WER: 0.7500 | Dist: 3 | RefWords: 4
File: 000875.wav | WER: 0.0870 | Dist: 2 | RefWords: 23
File: 000898.wav | WER: 0.1579 | Dist: 6 | RefWords: 38
File: 000853.wav | WER: 0.0000 | Dist: 0 | RefWords: 3
File: 000814.wav | WER: 0.1538 | Dist: 2 | RefWords: 13
File: 000821.wav | WER: 0.0000 | Dist: 0 | RefWords: 15
File: 000879.wav | WER: 0.0000 | Dist: 0 | RefWords: 14
File: 000825.wav | WER: 0.0000 | Dist: 0 | RefWords: 7
File: 000817.wav | WER: 0.0000 | Dist: 0 | RefWords: 4
File: 000863.wav | WER: 0.1071 | Dist: 3 | RefWords: 28
File: 000800.wav | WER: 0.1429 | Dist: 2 | RefWords: 14
File: 000876.wav | WER: 0.0000 | Dist: 0 | RefWords: 17
File: 000886.wav | WER: 0.0000 | Dist: 0 | RefWords: 17
File: 000829.wav | WER: 0.1304 | Dist: 3 | RefWords: 23
File: 000869.wav | WER: 0.1034 | Dist: 3 | RefWords: 29
File: 000815.wav | WER: 0.1429 | Dist: 1 | RefWords: 7
File: 000810.wav | WER: 0.0000 | Dist: 0 | RefWords: 7
File: 000838.wav | WER: 0.0000 | Dist: 0 | RefWords: 21
File: 000827.wav | WER: 0.1667 | Dist: 2 | RefWords: 12
File: 000818.wav | WER: 0.0833 | Dist: 2 | RefWords: 24
File: 000874.wav | WER: 0.0833 | Dist: 2 | RefWords: 24
File: 000862.wav | WER: 0.0000 | Dist: 0 | RefWords: 30
