nohup: ignoring input
--------------------------------------------------
Loading Model: medium.en on cuda...
Model Loaded.
--------------------------------------------------
Indexing audio files in /opt/Audio_Datasets/TEDLIUM_WAV ...
Indexed 2582 audio files.
--------------------------------------------------
File: 000096 | WER: 0.2692 | Dist: 7 | RefWords: 26
File: 000097 | WER: 0.0000 | Dist: 0 | RefWords: 13
File: 000098 | WER: 0.0000 | Dist: 0 | RefWords: 8
File: 000099 | WER: 0.1111 | Dist: 2 | RefWords: 18
File: 000100 | WER: 0.0435 | Dist: 1 | RefWords: 23
File: 000101 | WER: 0.0500 | Dist: 1 | RefWords: 20
File: 000102 | WER: 0.3750 | Dist: 3 | RefWords: 8
File: 000103 | WER: 0.0909 | Dist: 1 | RefWords: 11
File: 000104 | WER: 0.0455 | Dist: 1 | RefWords: 22
File: 000105 | WER: 0.2500 | Dist: 2 | RefWords: 8
File: 000106 | WER: 0.0435 | Dist: 1 | RefWords: 23
File: 000107 | WER: 0.1333 | Dist: 2 | RefWords: 15
File: 000108 | WER: 0.1538 | Dist: 2 | RefWords: 13
File: 000109 | WER: 0.1905 | Dist: 4 | RefWords: 21
File: 000110 | WER: 0.1071 | Dist: 3 | RefWords: 28
File: 000111 | WER: 0.1667 | Dist: 3 | RefWords: 18
File: 000112 | WER: 0.2400 | Dist: 6 | RefWords: 25
File: 000113 | WER: 0.2222 | Dist: 2 | RefWords: 9
File: 000114 | WER: 0.2857 | Dist: 4 | RefWords: 14
File: 000115 | WER: 0.0769 | Dist: 1 | RefWords: 13
File: 000116 | WER: 0.2000 | Dist: 2 | RefWords: 10
File: 000117 | WER: 0.0435 | Dist: 1 | RefWords: 23
File: 000118 | WER: 0.2222 | Dist: 2 | RefWords: 9
File: 000119 | WER: 0.0588 | Dist: 1 | RefWords: 17
File: 000120 | WER: 0.2000 | Dist: 1 | RefWords: 5
File: 000121 | WER: 0.1250 | Dist: 2 | RefWords: 16
File: 000122 | WER: 0.0938 | Dist: 3 | RefWords: 32
File: 000123 | WER: 0.1500 | Dist: 3 | RefWords: 20
File: 000124 | WER: 0.1000 | Dist: 1 | RefWords: 10
File: 000125 | WER: 0.2727 | Dist: 6 | RefWords: 22
File: 000126 | WER: 0.0833 | Dist: 1 | RefWords: 12
File: 000128 | WER: 0.1538 | Dist: 4 | RefWords: 26
File: 000129 | WER: 0.0000 | Dist: 0 | RefWords: 13
File: 000130 | WER: 0.1111 | Dist: 2 | RefWords: 18
File: 000131 | WER: 0.2308 | Dist: 3 | RefWords: 13
File: 000132 | WER: 0.3333 | Dist: 4 | RefWords: 12
File: 000133 | WER: 0.3077 | Dist: 4 | RefWords: 13
File: 000134 | WER: 0.1765 | Dist: 3 | RefWords: 17
File: 000135 | WER: 0.0000 | Dist: 0 | RefWords: 14
File: 000136 | WER: 0.5000 | Dist: 2 | RefWords: 4
File: 000137 | WER: 0.3750 | Dist: 3 | RefWords: 8
File: 000138 | WER: 0.0625 | Dist: 1 | RefWords: 16
File: 000139 | WER: 0.0909 | Dist: 1 | RefWords: 11
File: 000140 | WER: 0.0625 | Dist: 1 | RefWords: 16
File: 000141 | WER: 0.1739 | Dist: 4 | RefWords: 23
File: 000142 | WER: 0.1200 | Dist: 3 | RefWords: 25
File: 000143 | WER: 0.4444 | Dist: 4 | RefWords: 9
File: 000144 | WER: 0.0000 | Dist: 0 | RefWords: 9
File: 000145 | WER: 0.2083 | Dist: 5 | RefWords: 24
File: 000146 | WER: 0.5000 | Dist: 3 | RefWords: 6
File: 000147 | WER: 0.0000 | Dist: 0 | RefWords: 4
File: 000148 | WER: 0.2500 | Dist: 3 | RefWords: 12
File: 000149 | WER: 0.0000 | Dist: 0 | RefWords: 21
File: 000150 | WER: 0.1053 | Dist: 4 | RefWords: 38
File: 000151 | WER: 0.0000 | Dist: 0 | RefWords: 12
File: 000152 | WER: 0.1739 | Dist: 4 | RefWords: 23
File: 000154 | WER: 0.1852 | Dist: 5 | RefWords: 27
File: 000155 | WER: 0.0526 | Dist: 1 | RefWords: 19
File: 000156 | WER: 0.1250 | Dist: 2 | RefWords: 16
File: 000157 | WER: 0.1667 | Dist: 3 | RefWords: 18
File: 000158 | WER: 0.0000 | Dist: 0 | RefWords: 7
File: 000159 | WER: 0.1379 | Dist: 4 | RefWords: 29
File: 000160 | WER: 0.0455 | Dist: 1 | RefWords: 22
File: 000161 | WER: 0.4545 | Dist: 5 | RefWords: 11
File: 000162 | WER: 0.0000 | Dist: 0 | RefWords: 21
File: 000163 | WER: 0.0000 | Dist: 0 | RefWords: 20
File: 000164 | WER: 0.1667 | Dist: 4 | RefWords: 24
File: 000165 | WER: 0.0714 | Dist: 2 | RefWords: 28
File: 000166 | WER: 0.0435 | Dist: 1 | RefWords: 23
File: 000167 | WER: 0.1875 | Dist: 3 | RefWords: 16
File: 000168 | WER: 0.2727 | Dist: 3 | RefWords: 11
File: 000169 | WER: 0.3636 | Dist: 4 | RefWords: 11
File: 000170 | WER: 0.1364 | Dist: 3 | RefWords: 22
File: 000171 | WER: 0.0000 | Dist: 0 | RefWords: 15
File: 000172 | WER: 0.5000 | Dist: 4 | RefWords: 8
File: 000173 | WER: 0.0889 | Dist: 4 | RefWords: 45
File: 000174 | WER: 0.2500 | Dist: 9 | RefWords: 36
File: 000175 | WER: 0.2000 | Dist: 5 | RefWords: 25
File: 000176 | WER: 0.2000 | Dist: 6 | RefWords: 30
File: 000177 | WER: 0.1818 | Dist: 6 | RefWords: 33
File: 000178 | WER: 0.1935 | Dist: 6 | RefWords: 31
File: 000179 | WER: 0.0769 | Dist: 2 | RefWords: 26
File: 000180 | WER: 0.0952 | Dist: 2 | RefWords: 21
File: 000181 | WER: 0.1667 | Dist: 2 | RefWords: 12
File: 000183 | WER: 0.0909 | Dist: 3 | RefWords: 33
File: 000184 | WER: 0.4615 | Dist: 6 | RefWords: 13
File: 000185 | WER: 0.1500 | Dist: 3 | RefWords: 20
File: 000186 | WER: 0.2500 | Dist: 3 | RefWords: 12
File: 000187 | WER: 0.3784 | Dist: 14 | RefWords: 37
File: 000188 | WER: 0.0000 | Dist: 0 | RefWords: 17
File: 000189 | WER: 0.2593 | Dist: 7 | RefWords: 27
File: 000190 | WER: 0.3913 | Dist: 9 | RefWords: 23
File: 000191 | WER: 0.1818 | Dist: 2 | RefWords: 11
File: 000192 | WER: 0.3333 | Dist: 6 | RefWords: 18
File: 000193 | WER: 0.3462 | Dist: 9 | RefWords: 26
File: 000194 | WER: 0.1071 | Dist: 3 | RefWords: 28
File: 000195 | WER: 0.0000 | Dist: 0 | RefWords: 8
File: 000196 | WER: 0.1538 | Dist: 2 | RefWords: 13
File: 000197 | WER: 0.2143 | Dist: 3 | RefWords: 14
File: 000198 | WER: 0.1944 | Dist: 7 | RefWords: 36
File: 000199 | WER: 0.1818 | Dist: 4 | RefWords: 22
File: 000200 | WER: 0.0741 | Dist: 2 | RefWords: 27
File: 000201 | WER: 0.3415 | Dist: 14 | RefWords: 41
File: 000202 | WER: 0.5000 | Dist: 3 | RefWords: 6
File: 000203 | WER: 0.0625 | Dist: 1 | RefWords: 16
File: 000204 | WER: 0.2857 | Dist: 6 | RefWords: 21
File: 000205 | WER: 0.4444 | Dist: 8 | RefWords: 18
File: 000206 | WER: 0.2500 | Dist: 1 | RefWords: 4
File: 000207 | WER: 0.3077 | Dist: 4 | RefWords: 13
File: 000208 | WER: 0.1000 | Dist: 1 | RefWords: 10
File: 000209 | WER: 0.1250 | Dist: 3 | RefWords: 24
File: 000210 | WER: 0.0667 | Dist: 2 | RefWords: 30
File: 000211 | WER: 0.0000 | Dist: 0 | RefWords: 3
File: 000212 | WER: 0.1034 | Dist: 3 | RefWords: 29
File: 000213 | WER: 0.1111 | Dist: 1 | RefWords: 9
File: 000214 | WER: 0.1818 | Dist: 4 | RefWords: 22
File: 000215 | WER: 0.2000 | Dist: 1 | RefWords: 5
File: 000217 | WER: 0.1905 | Dist: 4 | RefWords: 21
File: 000218 | WER: 0.1818 | Dist: 2 | RefWords: 11
File: 000219 | WER: 0.0833 | Dist: 1 | RefWords: 12
File: 000220 | WER: 0.0541 | Dist: 2 | RefWords: 37
File: 000221 | WER: 0.1818 | Dist: 6 | RefWords: 33
File: 000222 | WER: 0.0909 | Dist: 1 | RefWords: 11
File: 000223 | WER: 0.1071 | Dist: 3 | RefWords: 28
File: 000224 | WER: 0.3000 | Dist: 3 | RefWords: 10
File: 000225 | WER: 0.1111 | Dist: 1 | RefWords: 9
File: 000226 | WER: 0.0000 | Dist: 0 | RefWords: 4
File: 000227 | WER: 0.1364 | Dist: 3 | RefWords: 22
File: 000228 | WER: 0.0870 | Dist: 2 | RefWords: 23
File: 000229 | WER: 0.0000 | Dist: 0 | RefWords: 14
File: 000230 | WER: 0.1111 | Dist: 1 | RefWords: 9
File: 000231 | WER: 0.2105 | Dist: 4 | RefWords: 19
File: 000232 | WER: 0.1667 | Dist: 3 | RefWords: 18
File: 000233 | WER: 0.1000 | Dist: 1 | RefWords: 10
File: 000234 | WER: 0.1429 | Dist: 4 | RefWords: 28
File: 000235 | WER: 0.2273 | Dist: 5 | RefWords: 22
File: 000236 | WER: 0.1538 | Dist: 2 | RefWords: 13
File: 000237 | WER: 0.0000 | Dist: 0 | RefWords: 10
File: 000238 | WER: 0.3333 | Dist: 13 | RefWords: 39
File: 000239 | WER: 0.2000 | Dist: 3 | RefWords: 15
File: 000240 | WER: 0.0000 | Dist: 0 | RefWords: 4
File: 000241 | WER: 0.5200 | Dist: 13 | RefWords: 25
File: 000242 | WER: 0.4286 | Dist: 3 | RefWords: 7
File: 000243 | WER: 0.1000 | Dist: 2 | RefWords: 20
File: 000244 | WER: 0.0625 | Dist: 1 | RefWords: 16
File: 000245 | WER: 0.0769 | Dist: 3 | RefWords: 39
File: 000246 | WER: 0.3750 | Dist: 9 | RefWords: 24
File: 000247 | WER: 0.0800 | Dist: 2 | RefWords: 25
File: 000248 | WER: 0.1818 | Dist: 2 | RefWords: 11
File: 000249 | WER: 0.0000 | Dist: 0 | RefWords: 4
File: 000250 | WER: 0.1667 | Dist: 2 | RefWords: 12
File: 000251 | WER: 0.1200 | Dist: 3 | RefWords: 25
File: 000252 | WER: 0.0417 | Dist: 1 | RefWords: 24
File: 000253 | WER: 0.2222 | Dist: 6 | RefWords: 27
File: 000254 | WER: 0.1176 | Dist: 2 | RefWords: 17
File: 000255 | WER: 0.1053 | Dist: 4 | RefWords: 38
File: 000256 | WER: 0.2308 | Dist: 3 | RefWords: 13
File: 000257 | WER: 0.2857 | Dist: 4 | RefWords: 14
File: 000258 | WER: 0.4194 | Dist: 13 | RefWords: 31
File: 000259 | WER: 0.1562 | Dist: 5 | RefWords: 32
File: 000260 | WER: 0.3333 | Dist: 2 | RefWords: 6
File: 000261 | WER: 0.0000 | Dist: 0 | RefWords: 5
File: 000262 | WER: 0.0526 | Dist: 1 | RefWords: 19
File: 000263 | WER: 0.0000 | Dist: 0 | RefWords: 7
File: 000264 | WER: 0.1333 | Dist: 6 | RefWords: 45
File: 000265 | WER: 0.1111 | Dist: 2 | RefWords: 18
File: 000266 | WER: 0.3333 | Dist: 4 | RefWords: 12
File: 000267 | WER: 0.1429 | Dist: 1 | RefWords: 7
